Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
Dubbed,TP,PST,,,,,"To insert a new soundtrack, often a synchronized translation of the original dialogue, into (a film). (The Free Dictionary by Farlex)",,,,,,,,,,,,
Education,GT,PST,,,,,"Where they studied, from early years to university or trade school (film school)",,,,,,,,,,,,
Entertainment,GT,PST,,,,,"An event, performance, or activity designed to entertain others.",,,,,,,,,,,,
Estudios Churubusco,GT,PST,,,,,Estudios Churubusco is one of the oldest and largest movie studios in Latin America located in theChurubusco neighborhood of Mexico City,,,,,,,,,,,,
Excavation,GT,PST,,,,,"the action of excavating something, especially an archaeological site.",,,,,,,,,,,,
Executive,PC,PST,,Execs,,,Having administrative or managerial responsibility (i.e. business executive),,,,,,,,,,,,
Experimental film,GF,PST,,,,,Cinema or avant-garde cinema is a mode of filmmaking that rigorously re-evaluates cinematic conventions and explores non-narrative forms and alternatives to traditional narratives or methods of working.,,,,,,,,,,,,
Facism,GT,PST,,,,,An authoritarian and nationalistic right-wing system of government and social organization,,,,,,,,,,,,
Fairy tales,TP,PST,,,,,A type of short story that typically features folkloric fantasy characters,,,,,,,,,,,,
Family,GT,PST,,,,,Relationships/household life in early years. Also derivative roles (mother/father/siblings/sister/brother/garndmother/grandfather/etc),,,,,,,,,,,,
Fantasy,GF,PST,,,,,imaginative fiction dependent for effect on strangeness of setting (such as other worlds or times) and of characters (such as supernatural or unnatural beings).,,,,,,,,,,,,
Farm Workers,GT,PST,,,,,A person employed to work on a farm,,,,,,,,,,,,
Feature Film,GF,PST,,,,,A full-length film intended as the main item in a movie theater program.,,,,,,,,,,,,
Feminism,GT,PST,,The Women's Movement,,,The advocacy of women's rights on the basis of the equality of the sexes.,,,,,,,,,,,,
Fencing,GT,PST,,,,,"The sport of fighting with swords, especially foils, épées, or sabers, according to a set of rules, in order to score points against an opponent",,,,,,,,,,,,
Filipino Hall,GT,PST,,,,,,,,,,,,,,,,,
Film critic,PC,PST,,,,,a person who writes or publishes a review of a film from either an artistic or entertainment point of view. Film critic does the analysis and evaluation offilms,,,,,,,,,,,,
Film editor,PC,PST,,,,,"Is the art, technique, and practice of assembling shots into a coherent sequence. The job of an editor is not simply to mechanically put pieces of a film together, cut off film slates, or edit dialogue scenes.",,,,,,,,,,,,
Film exhibition,TP,PST,,,,,"The process of scheduling and screening a film in a cinema… Around the world, purpose built cinemas, usually located in cities or towns, became the primary location for screening and viewing films… Alongside mainstream commercial film exhibition practices, a variety of alternative strategies have, and continue to be, used",,,,,,,,,,,,
Film festivals,GT,PST,,,,,"Various festivals, should all be labeled by their own names as well",,,,,,,,,,,,
Film Independent,GT,PST,,,,,"The organization took on production of the Independent Spirit Awards in the late 1980s and assumed ownership of the Los Angeles Film Festival in 2000. In time, IFP/West became Film Independent—a more accurate banner for the spectrum of services the organization had expanded to include.",,,,,,,,,,,,
Film noir,GF,PST,,,,,"Cinematic term used primarily to describe stylish Hollywood crime dramas, particularly such that emphasize cynical attitudes and sexual motivations",,,,,,,,,,,,
Film school,GT,PST,,,,,,,,,,,,,,,,,
